menu_item_id,quantity,event_date,guest_count,event_type,predicted_cost,actual_cost,ingredient_cost,confidence
ITEM-013,50,2026-11-24,68,Wedding,21584.06,20750.71,13125.0,0.68
ITEM-026,37,2026-12-06,29,Other,15972.21,17840.8,9712.5,0.71
ITEM-014,113,2026-09-17,191,Wedding,5650.0,5536.53,0.0,0.75
ITEM-021,29,2026-12-23,71,Birthday,35052.52,36221.9,21315.0,0.75
ITEM-011,64,2026-07-18,154,Other,24024.0,22870.36,16800.0,0.69
ITEM-023,70,2026-02-20,84,Corporate,42304.76,46129.88,25725.0,0.35
ITEM-003,44,2026-01-04,48,Corporate,36748.78,32697.77,22346.48,0.74
ITEM-004,24,2026-06-18,50,Other,81823341.6,83254519.01,57219120.0,0.28
ITEM-018,67,2026-08-14,75,Wedding,25150.12,23119.83,17587.5,0.64
ITEM-020,9,2026-05-24,12,Wedding,3378.38,3072.83,2362.5,0.77
ITEM-017,36,2026-01-25,89,Corporate,1800.0,1883.83,0.0,0.55
ITEM-003,67,2026-03-01,122,Other,53525.4,56361.32,34027.59,0.74
ITEM-011,40,2026-08-12,54,Wedding,15015.0,13686.07,10500.0,0.69
ITEM-003,12,2026-12-08,15,Birthday,10022.4,10284.46,6094.49,0.74
ITEM-003,31,2026-01-05,54,Corporate,25891.19,32876.21,15744.11,0.74
ITEM-017,15,2026-10-10,23,Wedding,750.0,746.41,0.0,0.55
ITEM-004,71,2026-05-23,129,Birthday,242060718.9,273488343.12,169273230.0,0.28
ITEM-002,64,2026-10-13,83,Wedding,144398.41,127273.63,87806.88,0.6
ITEM-022,27,2026-11-26,27,Wedding,11655.39,11414.65,7087.5,0.79
ITEM-010,11,2026-01-19,13,Wedding,550.0,679.52,0.0,0.41
ITEM-024,42,2026-04-17,38,Wedding,17342.33,15318.8,11025.0,0.36
ITEM-014,32,2026-01-05,41,Wedding,1600.0,1385.79,0.0,0.75
ITEM-019,31,2026-07-05,42,Birthday,18618.6,19132.33,13020.0,0.61
ITEM-002,5,2026-06-23,10,Corporate,9809.67,10971.39,6859.91,0.6
ITEM-019,17,2026-04-02,31,Birthday,11231.22,12474.75,7140.0,0.61
ITEM-018,23,2026-11-06,45,Other,9928.67,10229.09,6037.5,0.64
ITEM-004,33,2026-03-20,62,Wedding,123757804.17,120138736.91,78676290.0,0.28
ITEM-001,46,2026-08-01,89,Corporate,165834.67,133069.73,115968.3,0.62
ITEM-020,63,2026-10-16,109,Birthday,27195.92,24517.96,16537.5,0.77
ITEM-002,73,2026-07-09,93,Corporate,143221.25,144967.64,100154.72,0.6
ITEM-018,54,2026-11-17,58,Other,23310.79,25580.46,14175.0,0.64
ITEM-022,7,2026-09-03,17,Wedding,2627.62,2873.28,1837.5,0.79
ITEM-016,147,2026-09-04,295,Wedding,7350.0,7628.61,0.0,0.55
ITEM-023,22,2026-08-07,44,Wedding,11561.55,10532.57,8085.0,0.35
ITEM-018,27,2026-07-22,32,Other,10135.12,9523.98,7087.5,0.64
ITEM-015,68,2026-11-02,94,Birthday,3400.0,3391.91,0.0,0.7
ITEM-017,10,2026-03-04,10,Birthday,500.0,498.62,0.0,0.55
ITEM-019,32,2026-05-06,45,Wedding,19219.2,19512.25,13440.0,0.61
ITEM-026,53,2026-03-01,49,Wedding,21884.36,18480.5,13912.5,0.71
ITEM-025,30,2026-02-25,44,Corporate,12950.44,11138.34,7875.0,0.39
ITEM-003,16,2026-06-23,16,Birthday,11620.17,11763.07,8125.99,0.74
ITEM-002,67,2026-09-11,134,Birthday,131449.64,126724.77,91922.83,0.6
ITEM-012,50,2026-09-24,117,Birthday,18768.75,19540.2,13125.0,0.67
ITEM-025,49,2026-12-02,47,Birthday,21152.38,21085.31,12862.5,0.39
ITEM-024,21,2026-10-26,17,Wedding,9065.31,8723.05,5512.5,0.36
ITEM-005,79,2026-01-08,166,Wedding,125128562.03,117817383.92,76089122.55,0.85
ITEM-015,39,2026-04-15,77,Wedding,1950.0,1745.97,0.0,0.7
ITEM-034,6,2026-07-26,10,Other,300.0,312.12,0.0,0.63
ITEM-023,66,2026-01-26,155,Birthday,39887.35,38868.29,24255.0,0.35
ITEM-005,154,2026-06-25,212,Wedding,201500370.12,196976205.22,148325631.3,0.85
ITEM-022,20,2026-05-12,16,Corporate,7507.5,7177.62,5250.0,0.79
ITEM-005,79,2026-07-26,145,Birthday,108807445.25,107689669.44,76089122.55,0.85
ITEM-034,22,2026-03-26,36,Birthday,1100.0,1185.59,0.0,0.63
ITEM-018,113,2026-07-02,95,Birthday,40296.51,40662.46,29662.5,0.64
ITEM-020,56,2026-03-01,88,Birthday,23123.1,22842.32,14700.0,0.77
ITEM-001,53,2026-08-10,61,Wedding,191070.38,182739.14,133615.65,0.62
ITEM-021,12,2026-02-03,16,Corporate,14504.49,16308.76,8820.0,0.75
ITEM-002,15,2026-03-09,24,Corporate,32371.93,33743.04,20579.74,0.6
ITEM-026,28,2026-04-25,60,Wedding,11561.55,12071.86,7350.0,0.71
ITEM-003,18,2026-01-03,27,Wedding,15033.59,14228.75,9141.74,0.74
ITEM-005,83,2026-12-17,162,Corporate,131464185.43,124871436.69,79941736.35,0.85
ITEM-019,11,2026-04-16,16,Wedding,7267.26,7495.19,4620.0,0.61
ITEM-022,29,2026-03-26,54,Birthday,11974.46,11010.74,7612.5,0.79
ITEM-023,12,2026-04-21,25,Corporate,6936.93,6930.13,4410.0,0.35
ITEM-013,54,2026-06-07,82,Wedding,20270.25,22472.22,14175.0,0.68
ITEM-011,51,2026-05-05,61,Birthday,19144.12,20480.44,13387.5,0.69
ITEM-015,83,2026-07-25,149,Wedding,4150.0,3991.51,0.0,0.7
ITEM-021,42,2026-11-10,98,Wedding,50765.72,56757.52,30870.0,0.75
